Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.330	24.400	166.60	0.0060025	-0.031688	-0.027620	-1.2817	17.125	28.100	907.21	-0.0069598	undefined	undefined	liquid
22.330	24.405	166.60	0.0060024	-0.031688	-0.027620	-1.2817	17.125	28.100	907.21	-0.0069599	undefined	undefined	liquid
22.330	24.411	166.60	0.0060024	-0.031688	-0.027619	-1.2817	17.125	28.100	907.21	-0.0069599	undefined	undefined	liquid
22.330	24.416	166.60	0.0060024	-0.031689	-0.027618	-1.2817	17.125	28.100	907.21	-0.0069599	undefined	undefined	liquid
22.330	24.422	166.60	0.0060024	-0.031689	-0.027618	-1.2817	17.125	28.100	907.21	-0.0069599	undefined	undefined	liquid
22.330	24.427	166.60	0.0060024	-0.031689	-0.027617	-1.2818	17.125	28.100	907.21	-0.0069599	undefined	undefined	liquid
22.330	24.433	166.60	0.0060024	-0.031690	-0.027617	-1.2818	17.125	28.100	907.21	-0.0069599	undefined	undefined	liquid
22.330	24.438	166.60	0.0060024	-0.031690	-0.027616	-1.2818	17.125	28.100	907.21	-0.0069600	undefined	undefined	liquid
22.330	24.444	166.60	0.0060024	-0.031690	-0.027615	-1.2818	17.125	28.099	907.22	-0.0069600	undefined	undefined	liquid
22.330	24.449	166.60	0.0060024	-0.031691	-0.027615	-1.2818	17.125	28.099	907.22	-0.0069600	undefined	undefined	liquid
22.330	24.455	166.60	0.0060024	-0.031691	-0.027614	-1.2818	17.125	28.099	907.22	-0.0069600	undefined	undefined	liquid
22.330	24.460	166.60	0.0060024	-0.031691	-0.027614	-1.2818	17.125	28.099	907.22	-0.0069600	undefined	undefined	liquid
22.330	24.466	166.60	0.0060024	-0.031692	-0.027613	-1.2819	17.125	28.099	907.22	-0.0069600	undefined	undefined	liquid
22.330	24.471	166.60	0.0060024	-0.031692	-0.027612	-1.2819	17.125	28.099	907.22	-0.0069601	undefined	undefined	liquid
22.330	24.477	166.60	0.0060024	-0.031692	-0.027612	-1.2819	17.125	28.099	907.22	-0.0069601	undefined	undefined	liquid
22.330	24.482	166.60	0.0060024	-0.031693	-0.027611	-1.2819	17.125	28.099	907.22	-0.0069601	undefined	undefined	liquid
22.330	24.488	166.60	0.0060024	-0.031693	-0.027611	-1.2819	17.125	28.099	907.22	-0.0069601	undefined	undefined	liquid
22.330	24.493	166.60	0.0060024	-0.031693	-0.027610	-1.2819	17.125	28.099	907.22	-0.0069601	undefined	undefined	liquid
22.330	24.499	166.60	0.0060024	-0.031694	-0.027609	-1.2819	17.125	28.099	907.22	-0.0069601	undefined	undefined	liquid
22.330	24.504	166.60	0.0060024	-0.031694	-0.027609	-1.2820	17.125	28.099	907.22	-0.0069602	undefined	undefined	liquid
22.330	24.510	166.60	0.0060024	-0.031694	-0.027608	-1.2820	17.125	28.099	907.22	-0.0069602	undefined	undefined	liquid
22.330	24.515	166.60	0.0060024	-0.031694	-0.027608	-1.2820	17.125	28.099	907.22	-0.0069602	undefined	undefined	liquid
