Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.100	24.400	167.19	0.0059812	-0.038072	-0.034019	-1.5697	16.836	27.543	916.62	-0.0071848	undefined	undefined	liquid
22.100	24.405	167.19	0.0059812	-0.038073	-0.034019	-1.5697	16.836	27.543	916.62	-0.0071848	undefined	undefined	liquid
22.100	24.411	167.19	0.0059812	-0.038073	-0.034018	-1.5698	16.836	27.543	916.62	-0.0071848	undefined	undefined	liquid
22.100	24.416	167.19	0.0059812	-0.038073	-0.034017	-1.5698	16.836	27.543	916.62	-0.0071848	undefined	undefined	liquid
22.100	24.422	167.19	0.0059811	-0.038074	-0.034017	-1.5698	16.836	27.543	916.62	-0.0071848	undefined	undefined	liquid
22.100	24.427	167.19	0.0059811	-0.038074	-0.034016	-1.5698	16.836	27.543	916.62	-0.0071848	undefined	undefined	liquid
22.100	24.433	167.19	0.0059811	-0.038074	-0.034016	-1.5698	16.836	27.543	916.62	-0.0071849	undefined	undefined	liquid
22.100	24.438	167.19	0.0059811	-0.038075	-0.034015	-1.5698	16.836	27.542	916.62	-0.0071849	undefined	undefined	liquid
22.100	24.444	167.19	0.0059811	-0.038075	-0.034014	-1.5698	16.836	27.542	916.62	-0.0071849	undefined	undefined	liquid
22.100	24.449	167.19	0.0059811	-0.038075	-0.034014	-1.5699	16.836	27.542	916.62	-0.0071849	undefined	undefined	liquid
22.100	24.455	167.19	0.0059811	-0.038076	-0.034013	-1.5699	16.836	27.542	916.62	-0.0071849	undefined	undefined	liquid
22.100	24.460	167.19	0.0059811	-0.038076	-0.034013	-1.5699	16.836	27.542	916.62	-0.0071850	undefined	undefined	liquid
22.100	24.466	167.19	0.0059811	-0.038076	-0.034012	-1.5699	16.836	27.542	916.63	-0.0071850	undefined	undefined	liquid
22.100	24.471	167.19	0.0059811	-0.038076	-0.034011	-1.5699	16.836	27.542	916.63	-0.0071850	undefined	undefined	liquid
22.100	24.477	167.19	0.0059811	-0.038077	-0.034011	-1.5699	16.836	27.542	916.63	-0.0071850	undefined	undefined	liquid
22.100	24.482	167.19	0.0059811	-0.038077	-0.034010	-1.5699	16.836	27.542	916.63	-0.0071850	undefined	undefined	liquid
22.100	24.488	167.19	0.0059811	-0.038077	-0.034010	-1.5700	16.836	27.542	916.63	-0.0071850	undefined	undefined	liquid
22.100	24.493	167.19	0.0059811	-0.038078	-0.034009	-1.5700	16.836	27.542	916.63	-0.0071851	undefined	undefined	liquid
22.100	24.499	167.19	0.0059811	-0.038078	-0.034008	-1.5700	16.836	27.542	916.63	-0.0071851	undefined	undefined	liquid
22.100	24.504	167.19	0.0059811	-0.038078	-0.034008	-1.5700	16.836	27.542	916.63	-0.0071851	undefined	undefined	liquid
22.100	24.510	167.19	0.0059811	-0.038079	-0.034007	-1.5700	16.836	27.542	916.63	-0.0071851	undefined	undefined	liquid
22.100	24.515	167.19	0.0059811	-0.038079	-0.034007	-1.5700	16.836	27.542	916.63	-0.0071851	undefined	undefined	liquid
22.100	24.521	167.19	0.0059811	-0.038079	-0.034006	-1.5700	16.836	27.542	916.63	-0.0071851	undefined	undefined	liquid
