Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.320	24.400	166.62	0.0060015	-0.031968	-0.027901	-1.2943	17.113	28.076	907.60	-0.0069694	undefined	undefined	liquid
22.320	24.404	166.62	0.0060015	-0.031968	-0.027901	-1.2943	17.113	28.076	907.61	-0.0069694	undefined	undefined	liquid
22.320	24.408	166.62	0.0060015	-0.031969	-0.027900	-1.2943	17.113	28.076	907.61	-0.0069694	undefined	undefined	liquid
22.320	24.413	166.62	0.0060015	-0.031969	-0.027900	-1.2943	17.113	28.076	907.61	-0.0069694	undefined	undefined	liquid
22.320	24.417	166.62	0.0060015	-0.031969	-0.027899	-1.2943	17.113	28.076	907.61	-0.0069694	undefined	undefined	liquid
22.320	24.421	166.62	0.0060015	-0.031969	-0.027899	-1.2943	17.113	28.076	907.61	-0.0069694	undefined	undefined	liquid
22.320	24.425	166.62	0.0060015	-0.031970	-0.027898	-1.2943	17.113	28.076	907.61	-0.0069694	undefined	undefined	liquid
22.320	24.429	166.62	0.0060015	-0.031970	-0.027898	-1.2943	17.113	28.076	907.61	-0.0069694	undefined	undefined	liquid
22.320	24.434	166.63	0.0060015	-0.031970	-0.027897	-1.2944	17.113	28.076	907.61	-0.0069695	undefined	undefined	liquid
22.320	24.438	166.63	0.0060015	-0.031970	-0.027897	-1.2944	17.113	28.076	907.61	-0.0069695	undefined	undefined	liquid
22.320	24.442	166.63	0.0060015	-0.031970	-0.027896	-1.2944	17.113	28.076	907.61	-0.0069695	undefined	undefined	liquid
22.320	24.446	166.63	0.0060015	-0.031971	-0.027896	-1.2944	17.113	28.076	907.61	-0.0069695	undefined	undefined	liquid
22.320	24.450	166.63	0.0060015	-0.031971	-0.027896	-1.2944	17.113	28.075	907.61	-0.0069695	undefined	undefined	liquid
22.320	24.455	166.63	0.0060015	-0.031971	-0.027895	-1.2944	17.113	28.075	907.61	-0.0069695	undefined	undefined	liquid
22.320	24.459	166.63	0.0060015	-0.031971	-0.027895	-1.2944	17.113	28.075	907.61	-0.0069695	undefined	undefined	liquid
22.320	24.463	166.63	0.0060015	-0.031972	-0.027894	-1.2944	17.113	28.075	907.61	-0.0069696	undefined	undefined	liquid
22.320	24.467	166.63	0.0060015	-0.031972	-0.027894	-1.2944	17.113	28.075	907.61	-0.0069696	undefined	undefined	liquid
22.320	24.471	166.63	0.0060015	-0.031972	-0.027893	-1.2944	17.113	28.075	907.61	-0.0069696	undefined	undefined	liquid
22.320	24.476	166.63	0.0060015	-0.031972	-0.027893	-1.2945	17.113	28.075	907.61	-0.0069696	undefined	undefined	liquid
22.320	24.480	166.63	0.0060015	-0.031973	-0.027892	-1.2945	17.113	28.075	907.61	-0.0069696	undefined	undefined	liquid
22.320	24.484	166.63	0.0060015	-0.031973	-0.027892	-1.2945	17.113	28.075	907.62	-0.0069696	undefined	undefined	liquid
22.320	24.488	166.63	0.0060015	-0.031973	-0.027891	-1.2945	17.113	28.075	907.62	-0.0069696	undefined	undefined	liquid
22.320	24.492	166.63	0.0060015	-0.031973	-0.027891	-1.2945	17.113	28.075	907.62	-0.0069696	undefined	undefined	liquid
22.320	24.497	166.63	0.0060015	-0.031974	-0.027890	-1.2945	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.501	166.63	0.0060015	-0.031974	-0.027890	-1.2945	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.505	166.63	0.0060015	-0.031974	-0.027890	-1.2945	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.509	166.63	0.0060015	-0.031974	-0.027889	-1.2945	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.513	166.63	0.0060015	-0.031975	-0.027889	-1.2946	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.518	166.63	0.0060015	-0.031975	-0.027888	-1.2946	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.522	166.63	0.0060015	-0.031975	-0.027888	-1.2946	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.526	166.63	0.0060015	-0.031975	-0.027887	-1.2946	17.113	28.075	907.62	-0.0069697	undefined	undefined	liquid
22.320	24.530	166.63	0.0060015	-0.031976	-0.027887	-1.2946	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.534	166.63	0.0060014	-0.031976	-0.027886	-1.2946	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.539	166.63	0.0060014	-0.031976	-0.027886	-1.2946	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.543	166.63	0.0060014	-0.031976	-0.027885	-1.2946	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.547	166.63	0.0060014	-0.031977	-0.027885	-1.2946	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.551	166.63	0.0060014	-0.031977	-0.027885	-1.2947	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.555	166.63	0.0060014	-0.031977	-0.027884	-1.2947	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.560	166.63	0.0060014	-0.031977	-0.027884	-1.2947	17.113	28.075	907.62	-0.0069698	undefined	undefined	liquid
22.320	24.564	166.63	0.0060014	-0.031977	-0.027883	-1.2947	17.113	28.075	907.62	-0.0069699	undefined	undefined	liquid
22.320	24.568	166.63	0.0060014	-0.031978	-0.027883	-1.2947	17.113	28.075	907.63	-0.0069699	undefined	undefined	liquid
22.320	24.572	166.63	0.0060014	-0.031978	-0.027882	-1.2947	17.113	28.075	907.63	-0.0069699	undefined	undefined	liquid
22.320	24.576	166.63	0.0060014	-0.031978	-0.027882	-1.2947	17.113	28.075	907.63	-0.0069699	undefined	undefined	liquid
22.320	24.581	166.63	0.0060014	-0.031978	-0.027881	-1.2947	17.113	28.075	907.63	-0.0069699	undefined	undefined	liquid
22.320	24.585	166.63	0.0060014	-0.031979	-0.027881	-1.2947	17.113	28.075	907.63	-0.0069699	undefined	undefined	liquid
22.320	24.589	166.63	0.0060014	-0.031979	-0.027880	-1.2948	17.113	28.075	907.63	-0.0069699	undefined	undefined	liquid
22.320	24.593	166.63	0.0060014	-0.031979	-0.027880	-1.2948	17.113	28.075	907.63	-0.0069700	undefined	undefined	liquid
