Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.340	24.400	166.57	0.0060034	-0.031407	-0.027339	-1.2691	17.137	28.124	906.82	-0.0069503	undefined	undefined	liquid
22.340	24.405	166.57	0.0060034	-0.031408	-0.027338	-1.2691	17.137	28.124	906.82	-0.0069504	undefined	undefined	liquid
22.340	24.411	166.57	0.0060034	-0.031408	-0.027338	-1.2691	17.137	28.124	906.82	-0.0069504	undefined	undefined	liquid
22.340	24.416	166.57	0.0060034	-0.031408	-0.027337	-1.2691	17.137	28.124	906.82	-0.0069504	undefined	undefined	liquid
22.340	24.422	166.57	0.0060034	-0.031409	-0.027337	-1.2692	17.137	28.124	906.82	-0.0069504	undefined	undefined	liquid
22.340	24.427	166.57	0.0060034	-0.031409	-0.027336	-1.2692	17.137	28.124	906.82	-0.0069504	undefined	undefined	liquid
22.340	24.433	166.57	0.0060034	-0.031409	-0.027335	-1.2692	17.137	28.123	906.82	-0.0069504	undefined	undefined	liquid
22.340	24.438	166.57	0.0060034	-0.031410	-0.027335	-1.2692	17.137	28.123	906.82	-0.0069505	undefined	undefined	liquid
22.340	24.444	166.57	0.0060034	-0.031410	-0.027334	-1.2692	17.138	28.123	906.82	-0.0069505	undefined	undefined	liquid
22.340	24.449	166.57	0.0060034	-0.031410	-0.027334	-1.2692	17.138	28.123	906.82	-0.0069505	undefined	undefined	liquid
22.340	24.455	166.57	0.0060034	-0.031411	-0.027333	-1.2692	17.138	28.123	906.82	-0.0069505	undefined	undefined	liquid
22.340	24.460	166.57	0.0060034	-0.031411	-0.027332	-1.2693	17.138	28.123	906.82	-0.0069505	undefined	undefined	liquid
22.340	24.466	166.57	0.0060034	-0.031411	-0.027332	-1.2693	17.138	28.123	906.82	-0.0069505	undefined	undefined	liquid
22.340	24.471	166.57	0.0060034	-0.031411	-0.027331	-1.2693	17.138	28.123	906.83	-0.0069506	undefined	undefined	liquid
22.340	24.477	166.57	0.0060034	-0.031412	-0.027331	-1.2693	17.138	28.123	906.83	-0.0069506	undefined	undefined	liquid
22.340	24.482	166.57	0.0060033	-0.031412	-0.027330	-1.2693	17.138	28.123	906.83	-0.0069506	undefined	undefined	liquid
22.340	24.488	166.57	0.0060033	-0.031412	-0.027329	-1.2693	17.138	28.123	906.83	-0.0069506	undefined	undefined	liquid
22.340	24.493	166.57	0.0060033	-0.031413	-0.027329	-1.2693	17.138	28.123	906.83	-0.0069506	undefined	undefined	liquid
22.340	24.499	166.57	0.0060033	-0.031413	-0.027328	-1.2694	17.138	28.123	906.83	-0.0069507	undefined	undefined	liquid
22.340	24.504	166.57	0.0060033	-0.031413	-0.027328	-1.2694	17.138	28.123	906.83	-0.0069507	undefined	undefined	liquid
22.340	24.510	166.57	0.0060033	-0.031414	-0.027327	-1.2694	17.138	28.123	906.83	-0.0069507	undefined	undefined	liquid
22.340	24.515	166.57	0.0060033	-0.031414	-0.027326	-1.2694	17.138	28.123	906.83	-0.0069507	undefined	undefined	liquid
22.340	24.521	166.57	0.0060033	-0.031414	-0.027326	-1.2694	17.138	28.123	906.83	-0.0069507	undefined	undefined	liquid
22.340	24.526	166.57	0.0060033	-0.031415	-0.027325	-1.2694	17.138	28.123	906.83	-0.0069507	undefined	undefined	liquid
22.340	24.532	166.57	0.0060033	-0.031415	-0.027325	-1.2694	17.138	28.123	906.83	-0.0069508	undefined	undefined	liquid
22.340	24.537	166.57	0.0060033	-0.031415	-0.027324	-1.2695	17.138	28.123	906.83	-0.0069508	undefined	undefined	liquid
22.340	24.543	166.57	0.0060033	-0.031416	-0.027323	-1.2695	17.138	28.123	906.83	-0.0069508	undefined	undefined	liquid
22.340	24.548	166.57	0.0060033	-0.031416	-0.027323	-1.2695	17.138	28.123	906.83	-0.0069508	undefined	undefined	liquid
22.340	24.554	166.57	0.0060033	-0.031416	-0.027322	-1.2695	17.138	28.123	906.84	-0.0069508	undefined	undefined	liquid
22.340	24.559	166.57	0.0060033	-0.031417	-0.027322	-1.2695	17.138	28.123	906.84	-0.0069508	undefined	undefined	liquid
22.340	24.565	166.57	0.0060033	-0.031417	-0.027321	-1.2695	17.138	28.123	906.84	-0.0069509	undefined	undefined	liquid
22.340	24.570	166.57	0.0060033	-0.031417	-0.027320	-1.2695	17.138	28.123	906.84	-0.0069509	undefined	undefined	liquid
22.340	24.576	166.58	0.0060033	-0.031417	-0.027320	-1.2696	17.138	28.123	906.84	-0.0069509	undefined	undefined	liquid
22.340	24.581	166.58	0.0060033	-0.031418	-0.027319	-1.2696	17.138	28.123	906.84	-0.0069509	undefined	undefined	liquid
22.340	24.587	166.58	0.0060033	-0.031418	-0.027319	-1.2696	17.138	28.123	906.84	-0.0069509	undefined	undefined	liquid
22.340	24.592	166.58	0.0060033	-0.031418	-0.027318	-1.2696	17.138	28.123	906.84	-0.0069509	undefined	undefined	liquid
22.340	24.598	166.58	0.0060033	-0.031419	-0.027317	-1.2696	17.138	28.123	906.84	-0.0069510	undefined	undefined	liquid
22.340	24.603	166.58	0.0060033	-0.031419	-0.027317	-1.2696	17.138	28.123	906.84	-0.0069510	undefined	undefined	liquid
