Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.160	24.400	167.04	0.0059867	-0.036419	-0.032362	-1.4949	16.912	27.689	914.10	-0.0071249	undefined	undefined	liquid
22.160	24.404	167.04	0.0059867	-0.036419	-0.032362	-1.4949	16.912	27.689	914.10	-0.0071249	undefined	undefined	liquid
22.160	24.408	167.04	0.0059867	-0.036420	-0.032361	-1.4949	16.912	27.689	914.10	-0.0071249	undefined	undefined	liquid
22.160	24.413	167.04	0.0059867	-0.036420	-0.032361	-1.4949	16.912	27.689	914.10	-0.0071249	undefined	undefined	liquid
22.160	24.417	167.04	0.0059867	-0.036420	-0.032360	-1.4949	16.912	27.689	914.10	-0.0071249	undefined	undefined	liquid
22.160	24.421	167.04	0.0059867	-0.036420	-0.032360	-1.4949	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.425	167.04	0.0059867	-0.036421	-0.032359	-1.4949	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.429	167.04	0.0059867	-0.036421	-0.032359	-1.4949	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.434	167.04	0.0059867	-0.036421	-0.032359	-1.4949	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.438	167.04	0.0059866	-0.036421	-0.032358	-1.4950	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.442	167.04	0.0059866	-0.036422	-0.032358	-1.4950	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.446	167.04	0.0059866	-0.036422	-0.032357	-1.4950	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.450	167.04	0.0059866	-0.036422	-0.032357	-1.4950	16.912	27.689	914.10	-0.0071250	undefined	undefined	liquid
22.160	24.455	167.04	0.0059866	-0.036422	-0.032356	-1.4950	16.912	27.689	914.10	-0.0071251	undefined	undefined	liquid
22.160	24.459	167.04	0.0059866	-0.036423	-0.032356	-1.4950	16.912	27.689	914.11	-0.0071251	undefined	undefined	liquid
22.160	24.463	167.04	0.0059866	-0.036423	-0.032355	-1.4950	16.912	27.689	914.11	-0.0071251	undefined	undefined	liquid
22.160	24.467	167.04	0.0059866	-0.036423	-0.032355	-1.4950	16.912	27.689	914.11	-0.0071251	undefined	undefined	liquid
22.160	24.471	167.04	0.0059866	-0.036423	-0.032354	-1.4950	16.912	27.689	914.11	-0.0071251	undefined	undefined	liquid
22.160	24.476	167.04	0.0059866	-0.036424	-0.032354	-1.4951	16.912	27.689	914.11	-0.0071251	undefined	undefined	liquid
22.160	24.480	167.04	0.0059866	-0.036424	-0.032354	-1.4951	16.912	27.689	914.11	-0.0071251	undefined	undefined	liquid
22.160	24.484	167.04	0.0059866	-0.036424	-0.032353	-1.4951	16.912	27.689	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.488	167.04	0.0059866	-0.036424	-0.032353	-1.4951	16.912	27.689	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.492	167.04	0.0059866	-0.036424	-0.032352	-1.4951	16.912	27.689	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.497	167.04	0.0059866	-0.036425	-0.032352	-1.4951	16.912	27.689	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.501	167.04	0.0059866	-0.036425	-0.032351	-1.4951	16.912	27.689	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.505	167.04	0.0059866	-0.036425	-0.032351	-1.4951	16.912	27.688	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.509	167.04	0.0059866	-0.036425	-0.032350	-1.4951	16.912	27.688	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.513	167.04	0.0059866	-0.036426	-0.032350	-1.4951	16.912	27.688	914.11	-0.0071252	undefined	undefined	liquid
22.160	24.518	167.04	0.0059866	-0.036426	-0.032349	-1.4952	16.912	27.688	914.11	-0.0071253	undefined	undefined	liquid
22.160	24.522	167.04	0.0059866	-0.036426	-0.032349	-1.4952	16.912	27.688	914.11	-0.0071253	undefined	undefined	liquid
22.160	24.526	167.04	0.0059866	-0.036426	-0.032348	-1.4952	16.912	27.688	914.11	-0.0071253	undefined	undefined	liquid
22.160	24.530	167.04	0.0059866	-0.036427	-0.032348	-1.4952	16.912	27.688	914.11	-0.0071253	undefined	undefined	liquid
22.160	24.534	167.04	0.0059866	-0.036427	-0.032348	-1.4952	16.913	27.688	914.11	-0.0071253	undefined	undefined	liquid
22.160	24.539	167.04	0.0059866	-0.036427	-0.032347	-1.4952	16.913	27.688	914.12	-0.0071253	undefined	undefined	liquid
22.160	24.543	167.04	0.0059866	-0.036427	-0.032347	-1.4952	16.913	27.688	914.12	-0.0071253	undefined	undefined	liquid
22.160	24.547	167.04	0.0059866	-0.036428	-0.032346	-1.4952	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.551	167.04	0.0059866	-0.036428	-0.032346	-1.4952	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.555	167.04	0.0059866	-0.036428	-0.032345	-1.4953	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.560	167.04	0.0059866	-0.036428	-0.032345	-1.4953	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.564	167.04	0.0059866	-0.036428	-0.032344	-1.4953	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.568	167.04	0.0059866	-0.036429	-0.032344	-1.4953	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.572	167.04	0.0059866	-0.036429	-0.032343	-1.4953	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.576	167.04	0.0059866	-0.036429	-0.032343	-1.4953	16.913	27.688	914.12	-0.0071254	undefined	undefined	liquid
22.160	24.581	167.04	0.0059866	-0.036429	-0.032342	-1.4953	16.913	27.688	914.12	-0.0071255	undefined	undefined	liquid
22.160	24.585	167.04	0.0059866	-0.036430	-0.032342	-1.4953	16.913	27.688	914.12	-0.0071255	undefined	undefined	liquid
22.160	24.589	167.04	0.0059866	-0.036430	-0.032342	-1.4953	16.913	27.688	914.12	-0.0071255	undefined	undefined	liquid
22.160	24.593	167.04	0.0059866	-0.036430	-0.032341	-1.4954	16.913	27.688	914.12	-0.0071255	undefined	undefined	liquid
22.160	24.597	167.04	0.0059866	-0.036430	-0.032341	-1.4954	16.913	27.688	914.12	-0.0071255	undefined	undefined	liquid
22.160	24.602	167.04	0.0059866	-0.036431	-0.032340	-1.4954	16.913	27.688	914.12	-0.0071255	undefined	undefined	liquid
22.160	24.606	167.04	0.0059866	-0.036431	-0.032340	-1.4954	16.913	27.688	914.12	-0.0071255	undefined	undefined	liquid
22.160	24.610	167.04	0.0059866	-0.036431	-0.032339	-1.4954	16.913	27.688	914.12	-0.0071256	undefined	undefined	liquid
22.160	24.614	167.04	0.0059866	-0.036431	-0.032339	-1.4954	16.913	27.688	914.12	-0.0071256	undefined	undefined	liquid
22.160	24.618	167.04	0.0059866	-0.036432	-0.032338	-1.4954	16.913	27.688	914.13	-0.0071256	undefined	undefined	liquid
22.160	24.623	167.04	0.0059866	-0.036432	-0.032338	-1.4954	16.913	27.688	914.13	-0.0071256	undefined	undefined	liquid
22.160	24.627	167.04	0.0059866	-0.036432	-0.032337	-1.4954	16.913	27.688	914.13	-0.0071256	undefined	undefined	liquid
22.160	24.631	167.04	0.0059866	-0.036432	-0.032337	-1.4955	16.913	27.688	914.13	-0.0071256	undefined	undefined	liquid
22.160	24.635	167.04	0.0059866	-0.036433	-0.032336	-1.4955	16.913	27.688	914.13	-0.0071256	undefined	undefined	liquid
22.160	24.639	167.04	0.0059866	-0.036433	-0.032336	-1.4955	16.913	27.688	914.13	-0.0071256	undefined	undefined	liquid
22.160	24.644	167.04	0.0059865	-0.036433	-0.032336	-1.4955	16.913	27.688	914.13	-0.0071257	undefined	undefined	liquid
22.160	24.648	167.04	0.0059865	-0.036433	-0.032335	-1.4955	16.913	27.688	914.13	-0.0071257	undefined	undefined	liquid
22.160	24.652	167.04	0.0059865	-0.036433	-0.032335	-1.4955	16.913	27.688	914.13	-0.0071257	undefined	undefined	liquid
22.160	24.656	167.04	0.0059865	-0.036434	-0.032334	-1.4955	16.913	27.688	914.13	-0.0071257	undefined	undefined	liquid
22.160	24.660	167.04	0.0059865	-0.036434	-0.032334	-1.4955	16.913	27.688	914.13	-0.0071257	undefined	undefined	liquid
22.160	24.665	167.04	0.0059865	-0.036434	-0.032333	-1.4955	16.913	27.688	914.13	-0.0071257	undefined	undefined	liquid
22.160	24.669	167.04	0.0059865	-0.036434	-0.032333	-1.4955	16.913	27.688	914.13	-0.0071257	undefined	undefined	liquid
22.160	24.673	167.04	0.0059865	-0.036435	-0.032332	-1.4956	16.913	27.688	914.13	-0.0071258	undefined	undefined	liquid
22.160	24.677	167.04	0.0059865	-0.036435	-0.032332	-1.4956	16.913	27.688	914.13	-0.0071258	undefined	undefined	liquid
22.160	24.681	167.04	0.0059865	-0.036435	-0.032331	-1.4956	16.913	27.688	914.13	-0.0071258	undefined	undefined	liquid
22.160	24.686	167.04	0.0059865	-0.036435	-0.032331	-1.4956	16.913	27.687	914.13	-0.0071258	undefined	undefined	liquid
22.160	24.690	167.04	0.0059865	-0.036436	-0.032330	-1.4956	16.913	27.687	914.13	-0.0071258	undefined	undefined	liquid
22.160	24.694	167.04	0.0059865	-0.036436	-0.032330	-1.4956	16.913	27.687	914.13	-0.0071258	undefined	undefined	liquid
22.160	24.698	167.04	0.0059865	-0.036436	-0.032330	-1.4956	16.913	27.687	914.14	-0.0071258	undefined	undefined	liquid
22.160	24.702	167.04	0.0059865	-0.036436	-0.032329	-1.4956	16.913	27.687	914.14	-0.0071258	undefined	undefined	liquid
22.160	24.707	167.04	0.0059865	-0.036437	-0.032329	-1.4956	16.913	27.687	914.14	-0.0071259	undefined	undefined	liquid
22.160	24.711	167.04	0.0059865	-0.036437	-0.032328	-1.4957	16.913	27.687	914.14	-0.0071259	undefined	undefined	liquid
22.160	24.715	167.04	0.0059865	-0.036437	-0.032328	-1.4957	16.913	27.687	914.14	-0.0071259	undefined	undefined	liquid
22.160	24.719	167.04	0.0059865	-0.036437	-0.032327	-1.4957	16.913	27.687	914.14	-0.0071259	undefined	undefined	liquid
22.160	24.723	167.04	0.0059865	-0.036437	-0.032327	-1.4957	16.913	27.687	914.14	-0.0071259	undefined	undefined	liquid
