Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.380	25.600	68.413	0.014617	0.038193	0.043394	1.9280	11.670	22.240	1058.1	-0.0090946	11.411	0.10531	liquid
22.380	25.604	68.413	0.014617	0.038193	0.043395	1.9280	11.670	22.240	1058.1	-0.0090946	11.411	0.10531	liquid
22.380	25.607	68.413	0.014617	0.038192	0.043395	1.9280	11.670	22.240	1058.1	-0.0090947	11.411	0.10531	liquid
22.380	25.610	68.413	0.014617	0.038192	0.043395	1.9280	11.670	22.240	1058.1	-0.0090947	11.411	0.10531	liquid
22.380	25.614	68.413	0.014617	0.038192	0.043396	1.9280	11.670	22.240	1058.1	-0.0090947	11.411	0.10531	liquid
22.380	25.617	68.413	0.014617	0.038191	0.043396	1.9280	11.670	22.240	1058.1	-0.0090948	11.411	0.10531	liquid
22.380	25.621	68.413	0.014617	0.038191	0.043396	1.9280	11.670	22.240	1058.1	-0.0090948	11.411	0.10531	liquid
22.380	25.624	68.413	0.014617	0.038191	0.043397	1.9279	11.670	22.240	1058.1	-0.0090949	11.411	0.10531	liquid
22.380	25.628	68.413	0.014617	0.038190	0.043397	1.9279	11.670	22.240	1058.1	-0.0090949	11.411	0.10531	liquid
22.380	25.631	68.413	0.014617	0.038190	0.043398	1.9279	11.670	22.240	1058.1	-0.0090950	11.411	0.10531	liquid
22.380	25.635	68.413	0.014617	0.038190	0.043398	1.9279	11.670	22.240	1058.1	-0.0090950	11.411	0.10531	liquid
22.380	25.638	68.413	0.014617	0.038189	0.043398	1.9279	11.670	22.240	1058.2	-0.0090950	11.411	0.10531	liquid
22.380	25.642	68.413	0.014617	0.038189	0.043399	1.9279	11.670	22.239	1058.2	-0.0090951	11.411	0.10531	liquid
22.380	25.645	68.413	0.014617	0.038189	0.043399	1.9279	11.670	22.239	1058.2	-0.0090951	11.411	0.10531	liquid
22.380	25.649	68.413	0.014617	0.038189	0.043400	1.9278	11.670	22.239	1058.2	-0.0090952	11.411	0.10531	liquid
22.380	25.652	68.413	0.014617	0.038188	0.043400	1.9278	11.670	22.239	1058.2	-0.0090952	11.411	0.10531	liquid
22.380	25.656	68.413	0.014617	0.038188	0.043400	1.9278	11.670	22.239	1058.2	-0.0090953	11.411	0.10531	liquid
22.380	25.659	68.413	0.014617	0.038188	0.043401	1.9278	11.670	22.239	1058.2	-0.0090953	11.411	0.10531	liquid
22.380	25.663	68.413	0.014617	0.038187	0.043401	1.9278	11.670	22.239	1058.2	-0.0090953	11.411	0.10531	liquid
22.380	25.666	68.413	0.014617	0.038187	0.043402	1.9278	11.670	22.239	1058.2	-0.0090954	11.411	0.10531	liquid
22.380	25.670	68.413	0.014617	0.038187	0.043402	1.9278	11.670	22.239	1058.2	-0.0090954	11.411	0.10531	liquid
22.380	25.673	68.413	0.014617	0.038186	0.043402	1.9277	11.670	22.239	1058.2	-0.0090955	11.411	0.10531	liquid
22.380	25.677	68.413	0.014617	0.038186	0.043403	1.9277	11.670	22.239	1058.2	-0.0090955	11.411	0.10531	liquid
22.380	25.680	68.413	0.014617	0.038186	0.043403	1.9277	11.670	22.239	1058.2	-0.0090955	11.411	0.10531	liquid
22.380	25.684	68.414	0.014617	0.038185	0.043404	1.9277	11.670	22.239	1058.2	-0.0090956	11.411	0.10531	liquid
22.380	25.687	68.414	0.014617	0.038185	0.043404	1.9277	11.670	22.239	1058.2	-0.0090956	11.411	0.10531	liquid
22.380	25.691	68.414	0.014617	0.038185	0.043404	1.9277	11.670	22.239	1058.2	-0.0090957	11.411	0.10531	liquid
22.380	25.694	68.414	0.014617	0.038184	0.043405	1.9277	11.670	22.239	1058.2	-0.0090957	11.412	0.10531	liquid
22.380	25.698	68.414	0.014617	0.038184	0.043405	1.9276	11.670	22.239	1058.2	-0.0090958	11.412	0.10531	liquid
22.380	25.701	68.414	0.014617	0.038184	0.043406	1.9276	11.670	22.239	1058.2	-0.0090958	11.412	0.10531	liquid
22.380	25.705	68.414	0.014617	0.038184	0.043406	1.9276	11.670	22.239	1058.2	-0.0090958	11.412	0.10531	liquid
22.380	25.708	68.414	0.014617	0.038183	0.043406	1.9276	11.670	22.239	1058.2	-0.0090959	11.412	0.10531	liquid
22.380	25.712	68.414	0.014617	0.038183	0.043407	1.9276	11.670	22.239	1058.2	-0.0090959	11.412	0.10531	liquid
22.380	25.715	68.414	0.014617	0.038183	0.043407	1.9276	11.670	22.239	1058.2	-0.0090960	11.412	0.10531	liquid
22.380	25.719	68.414	0.014617	0.038182	0.043407	1.9276	11.670	22.239	1058.2	-0.0090960	11.412	0.10531	liquid
22.380	25.722	68.414	0.014617	0.038182	0.043408	1.9275	11.670	22.239	1058.2	-0.0090961	11.412	0.10531	liquid
22.380	25.726	68.414	0.014617	0.038182	0.043408	1.9275	11.670	22.239	1058.2	-0.0090961	11.412	0.10531	liquid
22.380	25.729	68.414	0.014617	0.038181	0.043409	1.9275	11.670	22.239	1058.2	-0.0090961	11.412	0.10531	liquid
22.380	25.733	68.414	0.014617	0.038181	0.043409	1.9275	11.670	22.238	1058.2	-0.0090962	11.412	0.10531	liquid
22.380	25.736	68.414	0.014617	0.038181	0.043409	1.9275	11.670	22.238	1058.2	-0.0090962	11.412	0.10531	liquid
22.380	25.740	68.414	0.014617	0.038180	0.043410	1.9275	11.670	22.238	1058.2	-0.0090963	11.412	0.10531	liquid
22.380	25.743	68.414	0.014617	0.038180	0.043410	1.9275	11.670	22.238	1058.2	-0.0090963	11.412	0.10531	liquid
22.380	25.747	68.414	0.014617	0.038180	0.043411	1.9274	11.670	22.238	1058.2	-0.0090964	11.412	0.10531	liquid
22.380	25.750	68.414	0.014617	0.038179	0.043411	1.9274	11.670	22.238	1058.2	-0.0090964	11.412	0.10531	liquid
22.380	25.754	68.414	0.014617	0.038179	0.043411	1.9274	11.670	22.238	1058.2	-0.0090964	11.412	0.10531	liquid
22.380	25.757	68.414	0.014617	0.038179	0.043412	1.9274	11.670	22.238	1058.2	-0.0090965	11.412	0.10531	liquid
22.380	25.761	68.414	0.014617	0.038178	0.043412	1.9274	11.670	22.238	1058.2	-0.0090965	11.412	0.10531	liquid
22.380	25.764	68.414	0.014617	0.038178	0.043413	1.9274	11.670	22.238	1058.2	-0.0090966	11.412	0.10531	liquid
22.380	25.768	68.415	0.014617	0.038178	0.043413	1.9274	11.670	22.238	1058.2	-0.0090966	11.412	0.10531	liquid
22.380	25.771	68.415	0.014617	0.038178	0.043413	1.9273	11.670	22.238	1058.2	-0.0090967	11.412	0.10531	liquid
22.380	25.775	68.415	0.014617	0.038177	0.043414	1.9273	11.670	22.238	1058.2	-0.0090967	11.412	0.10531	liquid
22.380	25.778	68.415	0.014617	0.038177	0.043414	1.9273	11.670	22.238	1058.2	-0.0090967	11.412	0.10531	liquid
22.380	25.782	68.415	0.014617	0.038177	0.043415	1.9273	11.670	22.238	1058.2	-0.0090968	11.412	0.10531	liquid
22.380	25.785	68.415	0.014617	0.038176	0.043415	1.9273	11.670	22.238	1058.2	-0.0090968	11.412	0.10531	liquid
