Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.280	24.400	166.73	0.0059978	-0.033087	-0.029022	-1.3445	17.063	27.980	909.20	-0.0070077	undefined	undefined	liquid
22.280	24.404	166.73	0.0059978	-0.033087	-0.029022	-1.3445	17.063	27.980	909.20	-0.0070077	undefined	undefined	liquid
22.280	24.408	166.73	0.0059978	-0.033087	-0.029021	-1.3446	17.063	27.980	909.20	-0.0070077	undefined	undefined	liquid
22.280	24.413	166.73	0.0059978	-0.033087	-0.029021	-1.3446	17.063	27.980	909.20	-0.0070077	undefined	undefined	liquid
22.280	24.417	166.73	0.0059978	-0.033088	-0.029020	-1.3446	17.063	27.980	909.20	-0.0070077	undefined	undefined	liquid
22.280	24.421	166.73	0.0059978	-0.033088	-0.029020	-1.3446	17.063	27.980	909.20	-0.0070077	undefined	undefined	liquid
22.280	24.425	166.73	0.0059978	-0.033088	-0.029019	-1.3446	17.063	27.980	909.20	-0.0070077	undefined	undefined	liquid
22.280	24.429	166.73	0.0059978	-0.033088	-0.029019	-1.3446	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.434	166.73	0.0059978	-0.033089	-0.029018	-1.3446	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.438	166.73	0.0059978	-0.033089	-0.029018	-1.3446	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.442	166.73	0.0059978	-0.033089	-0.029018	-1.3446	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.446	166.73	0.0059978	-0.033089	-0.029017	-1.3447	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.450	166.73	0.0059978	-0.033090	-0.029017	-1.3447	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.455	166.73	0.0059978	-0.033090	-0.029016	-1.3447	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.459	166.73	0.0059978	-0.033090	-0.029016	-1.3447	17.063	27.979	909.20	-0.0070078	undefined	undefined	liquid
22.280	24.463	166.73	0.0059978	-0.033090	-0.029015	-1.3447	17.063	27.979	909.20	-0.0070079	undefined	undefined	liquid
22.280	24.467	166.73	0.0059977	-0.033090	-0.029015	-1.3447	17.063	27.979	909.21	-0.0070079	undefined	undefined	liquid
22.280	24.471	166.73	0.0059977	-0.033091	-0.029014	-1.3447	17.063	27.979	909.21	-0.0070079	undefined	undefined	liquid
22.280	24.476	166.73	0.0059977	-0.033091	-0.029014	-1.3447	17.063	27.979	909.21	-0.0070079	undefined	undefined	liquid
