RunNumber    target    charge       TLT   TE_SHMS    TE_HMS SHMS_aero  SHMS_cal   HMS_cal   HMS_cer       all
6246        D2   38.8608  0.981501  0.966431  0.993506  0.903494  0.920965  0.995781  0.976709  0.762658
6247        D2   66.7563  0.979724  0.973764  0.997273  0.939583  0.934722  0.991331  0.973684   0.80654
6248        D2   53.2241  0.973243  0.969993  0.994804  0.929949  0.932423  0.994062  0.969216  0.784574
6249        D2   68.2675  0.972884  0.978434  0.995323  0.932192  0.933096  0.994757  0.970503  0.795613
6250        D2   77.5696  0.972731  0.973375  0.993806  0.929302  0.931328  0.992444   0.96981  0.783838
6263        D2   44.9884  0.976557  0.982591  0.997196  0.936134  0.936655  0.993366  0.975631  0.813136
6264        D2   40.9003  0.976951  0.982576  0.995737  0.943087  0.942255  0.994334  0.971799  0.820754
6265        D2    40.531  0.978938   0.98787  0.996321  0.943333  0.939279  0.994223  0.987387  0.838079
6266        D2   80.1646   0.97751   0.97503  0.996872  0.932335  0.931739  0.994889  0.973486  0.799373
6267        D2   55.0656  0.981737  0.976849  0.995471  0.931771  0.930564  0.992461  0.962486  0.790706
6270        D2   47.7444  0.980433   0.97551  0.997253  0.913076   0.89602  0.993402  0.968689  0.750912
6271        D2   74.7107  0.980525  0.979615  0.996264  0.931425  0.911452  0.993045  0.970001  0.782549
6272        D2   71.1519  0.979716   0.98021  0.996962  0.919021  0.903051  0.994116  0.971885  0.767693
6273        D2   32.5382   0.98088  0.978596  0.994631   0.91954  0.904598  0.992303   0.97873  0.771285
6290        D2   126.121  0.985384  0.983711  0.992801  0.948572  0.950952  0.992457  0.960398  0.827422
6291        D2   62.3023  0.986065  0.964832   0.99439  0.946604  0.945186  0.993274   0.96534  0.811612
6292        D2   111.384  0.979535  0.981065  0.995625  0.941688  0.940208  0.992091  0.965778  0.811658
6293        D2   74.1152   0.97896  0.977895   0.99896  0.941911  0.942817  0.991017  0.957211  0.805623
6306        D2    39.353         1  0.969949         1  0.944083  0.941395  0.990019  0.966549  0.824895
6307        D2   155.233         1  0.969392         1   0.94345  0.941165  0.991626  0.965056   0.82373
6308        D2    111.07         1  0.970363         1  0.943504  0.940123  0.989925  0.973285  0.829288
6309        D2   94.3646  0.979413  0.968691  0.997878  0.818065  0.948141  0.994495  0.967405  0.706481
6310        D2   33.4643  0.980121  0.968932         1  0.801746  0.945238   0.99362  0.968718  0.692737
6322        D2   67.1715  0.978847  0.981165  0.994792  0.813721  0.914086  0.990683   0.96639   0.68036
6323        D2   49.2229  0.980392  0.981818  0.989625  0.847144  0.936656  0.991916  0.970261  0.727449
6324        D2   21.2436         1  0.970101         1  0.813551  0.920376  0.996444  0.973436  0.704576
6325        D2   54.6221         1  0.970905         1  0.759074  0.921151  0.992784  0.974516  0.656803
