correct as of April 4 2022
Run	PTRIG1	Cur	ChCorr	pcal	hcal	hcer	aero	htrack	ptrack	TLT	BOIL	FADC	Total
6081	484.9	28.8	12.51	0.96	0.994	0.98	0.968	0.9982	0.9930	0.9770	0.9925	0.9758	0.8490
6082	457.3	49.3	126.13	0.96	0.994	0.98	0.968	0.9986	0.9930	0.9681	0.9872	0.9771	0.8382
6083	451.3	48.8	147.73	0.96	0.994	0.98	0.968	0.9987	0.9926	0.9675	0.9873	0.9774	0.8378
6084	485.9	36.8	122.17	0.96	0.994	0.98	0.968	0.9991	0.9933	0.9751	0.9904	0.9757	0.8465
6085	486.8	36.8	43.87	0.96	0.994	0.98	0.968	0.9986	0.9965	0.9760	0.9904	0.9757	0.8496
6086	489.2	36.8	107.03	0.96	0.994	0.98	0.968	0.9987	0.9949	0.9728	0.9904	0.9755	0.8454
6087	163.9	40.8	150.07	0.96	0.994	0.98	0.968	0.9985	0.9943	0.9917	0.9894	0.9918	0.8745
6088	486.5	16.8	36.81	0.96	0.994	0.98	0.968	0.9992	0.9964	0.9799	0.9956	0.9757	0.8579
6089	487.2	16.8	38.04	0.96	0.994	0.98	0.968	0.9989	0.9945	0.9801	0.9956	0.9756	0.8561
6090	486.8	16.8	36.72	0.96	0.994	0.98	0.968	0.9989	0.9963	0.9796	0.9956	0.9757	0.8573
6091	486.9	9.8	32.45	0.96	0.994	0.98	0.968	0.9996	0.9972	0.9810	0.9975	0.9757	0.8615
6093	481.2	9.8	29.69	0.96	0.994	0.98	0.968	0.9990	0.9968	0.9823	0.9975	0.9759	0.8619
6094	480.4	9.8	3.79	0.96	0.994	0.98	0.968	1.0000	0.9953	0.9801	0.9975	0.976	0.8597
6095	484.6	9.8	3.58	0.96	0.994	0.98	0.968	1.0000	0.9973	0.9805	0.9975	0.9758	0.8616
6096	486.2	9.8	22.72	0.96	0.994	0.98	0.968	0.9985	0.9946	0.9812	0.9975	0.9757	0.8584
6097	284.9	40.8	17.63	0.96	0.994	0.98	0.968	1.0000	0.9958	0.9864	0.9894	0.9858	0.8672
6098	284.4	40.8	108.47	0.96	0.994	0.98	0.968	0.9992	0.9962	0.9875	0.9894	0.9858	0.8678
