Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.440	25.600	2.2056	0.45338	0.76277	0.92409	41.236	13.202	26.312	366.90	0.20254	1.2083	0.019425	vapor
22.440	25.603	2.2059	0.45332	0.76276	0.92408	41.234	13.203	26.313	366.90	0.20254	1.2083	0.019425	vapor
22.440	25.606	2.2063	0.45326	0.76276	0.92407	41.233	13.203	26.314	366.89	0.20255	1.2083	0.019425	vapor
22.440	25.609	2.2066	0.45319	0.76275	0.92406	41.232	13.203	26.315	366.89	0.20255	1.2083	0.019426	vapor
22.440	25.612	2.2069	0.45313	0.76274	0.92406	41.231	13.203	26.316	366.88	0.20255	1.2084	0.019426	vapor
22.440	25.615	2.2072	0.45307	0.76274	0.92405	41.229	13.203	26.317	366.88	0.20256	1.2084	0.019426	vapor
22.440	25.618	2.2075	0.45301	0.76273	0.92404	41.228	13.203	26.319	366.88	0.20256	1.2084	0.019426	vapor
22.440	25.621	2.2078	0.45294	0.76273	0.92403	41.227	13.204	26.320	366.87	0.20256	1.2084	0.019426	vapor
22.440	25.624	2.2081	0.45288	0.76272	0.92402	41.226	13.204	26.321	366.87	0.20256	1.2084	0.019427	vapor
22.440	25.627	2.2084	0.45282	0.76272	0.92401	41.224	13.204	26.322	366.87	0.20257	1.2084	0.019427	vapor
22.440	25.630	2.2087	0.45275	0.76271	0.92400	41.223	13.204	26.323	366.86	0.20257	1.2084	0.019427	vapor
22.440	25.633	2.2090	0.45269	0.76271	0.92399	41.222	13.204	26.324	366.86	0.20257	1.2084	0.019427	vapor
22.440	25.636	2.2093	0.45263	0.76270	0.92398	41.221	13.204	26.325	366.85	0.20258	1.2084	0.019427	vapor
22.440	25.639	2.2096	0.45257	0.76270	0.92398	41.219	13.205	26.327	366.85	0.20258	1.2084	0.019428	vapor
22.440	25.642	2.2099	0.45250	0.76269	0.92397	41.218	13.205	26.328	366.85	0.20258	1.2084	0.019428	vapor
22.440	25.645	2.2102	0.45244	0.76269	0.92396	41.217	13.205	26.329	366.84	0.20258	1.2084	0.019428	vapor
22.440	25.648	2.2105	0.45238	0.76268	0.92395	41.216	13.205	26.330	366.84	0.20259	1.2084	0.019428	vapor
22.440	25.651	2.2108	0.45232	0.76267	0.92394	41.214	13.205	26.331	366.84	0.20259	1.2084	0.019428	vapor
22.440	25.654	2.2112	0.45225	0.76267	0.92393	41.213	13.205	26.332	366.83	0.20259	1.2085	0.019429	vapor
22.440	25.657	2.2115	0.45219	0.76266	0.92392	41.212	13.206	26.334	366.83	0.20260	1.2085	0.019429	vapor
22.440	25.660	2.2118	0.45213	0.76266	0.92391	41.211	13.206	26.335	366.82	0.20260	1.2085	0.019429	vapor
22.440	25.663	2.2121	0.45206	0.76265	0.92390	41.210	13.206	26.336	366.82	0.20260	1.2085	0.019429	vapor
22.440	25.666	2.2124	0.45200	0.76265	0.92390	41.208	13.206	26.337	366.82	0.20260	1.2085	0.019430	vapor
22.440	25.669	2.2127	0.45194	0.76264	0.92389	41.207	13.206	26.338	366.81	0.20261	1.2085	0.019430	vapor
22.440	25.672	2.2130	0.45188	0.76264	0.92388	41.206	13.207	26.339	366.81	0.20261	1.2085	0.019430	vapor
22.440	25.675	2.2133	0.45181	0.76263	0.92387	41.205	13.207	26.340	366.80	0.20261	1.2085	0.019430	vapor
22.440	25.678	2.2136	0.45175	0.76263	0.92386	41.203	13.207	26.342	366.80	0.20262	1.2085	0.019430	vapor
22.440	25.681	2.2139	0.45169	0.76262	0.92385	41.202	13.207	26.343	366.80	0.20262	1.2085	0.019431	vapor
22.440	25.684	2.2142	0.45163	0.76262	0.92384	41.201	13.207	26.344	366.79	0.20262	1.2085	0.019431	vapor
22.440	25.687	2.2145	0.45156	0.76261	0.92383	41.200	13.207	26.345	366.79	0.20262	1.2085	0.019431	vapor
22.440	25.690	2.2148	0.45150	0.76260	0.92382	41.198	13.208	26.346	366.79	0.20263	1.2085	0.019431	vapor
22.440	25.693	2.2151	0.45144	0.76260	0.92382	41.197	13.208	26.347	366.78	0.20263	1.2085	0.019431	vapor
22.440	25.696	2.2154	0.45138	0.76259	0.92381	41.196	13.208	26.349	366.78	0.20263	1.2086	0.019432	vapor
22.440	25.699	2.2158	0.45131	0.76259	0.92380	41.195	13.208	26.350	366.77	0.20264	1.2086	0.019432	vapor
22.440	25.702	2.2161	0.45125	0.76258	0.92379	41.193	13.208	26.351	366.77	0.20264	1.2086	0.019432	vapor
22.440	25.705	2.2164	0.45119	0.76258	0.92378	41.192	13.208	26.352	366.77	0.20264	1.2086	0.019432	vapor
22.440	25.708	2.2167	0.45113	0.76257	0.92377	41.191	13.209	26.353	366.76	0.20264	1.2086	0.019433	vapor
22.440	25.711	2.2170	0.45106	0.76257	0.92376	41.190	13.209	26.354	366.76	0.20265	1.2086	0.019433	vapor
22.440	25.714	2.2173	0.45100	0.76256	0.92375	41.189	13.209	26.355	366.76	0.20265	1.2086	0.019433	vapor
22.440	25.717	2.2176	0.45094	0.76256	0.92374	41.187	13.209	26.357	366.75	0.20265	1.2086	0.019433	vapor
22.440	25.720	2.2179	0.45088	0.76255	0.92374	41.186	13.209	26.358	366.75	0.20266	1.2086	0.019433	vapor
22.440	25.723	2.2182	0.45081	0.76255	0.92373	41.185	13.209	26.359	366.74	0.20266	1.2086	0.019434	vapor
22.440	25.726	2.2185	0.45075	0.76254	0.92372	41.184	13.210	26.360	366.74	0.20266	1.2086	0.019434	vapor
22.440	25.729	2.2188	0.45069	0.76253	0.92371	41.182	13.210	26.361	366.74	0.20266	1.2086	0.019434	vapor
22.440	25.732	2.2191	0.45063	0.76253	0.92370	41.181	13.210	26.362	366.73	0.20267	1.2086	0.019434	vapor
22.440	25.735	2.2194	0.45056	0.76252	0.92369	41.180	13.210	26.364	366.73	0.20267	1.2086	0.019434	vapor
22.440	25.738	2.2197	0.45050	0.76252	0.92368	41.179	13.210	26.365	366.73	0.20267	1.2087	0.019435	vapor
22.440	25.741	2.2200	0.45044	0.76251	0.92367	41.177	13.211	26.366	366.72	0.20268	1.2087	0.019435	vapor
22.440	25.744	2.2204	0.45038	0.76251	0.92366	41.176	13.211	26.367	366.72	0.20268	1.2087	0.019435	vapor
22.440	25.747	2.2207	0.45032	0.76250	0.92366	41.175	13.211	26.368	366.71	0.20268	1.2087	0.019435	vapor
22.440	25.750	2.2210	0.45025	0.76250	0.92365	41.174	13.211	26.369	366.71	0.20268	1.2087	0.019436	vapor
22.440	25.753	2.2213	0.45019	0.76249	0.92364	41.172	13.211	26.371	366.71	0.20269	1.2087	0.019436	vapor
22.440	25.756	2.2216	0.45013	0.76249	0.92363	41.171	13.211	26.372	366.70	0.20269	1.2087	0.019436	vapor
22.440	25.759	2.2219	0.45007	0.76248	0.92362	41.170	13.212	26.373	366.70	0.20269	1.2087	0.019436	vapor
22.440	25.762	2.2222	0.45000	0.76247	0.92361	41.169	13.212	26.374	366.69	0.20270	1.2087	0.019436	vapor
22.440	25.765	2.2225	0.44994	0.76247	0.92360	41.168	13.212	26.375	366.69	0.20270	1.2087	0.019437	vapor
22.440	25.768	2.2228	0.44988	0.76246	0.92359	41.166	13.212	26.376	366.69	0.20270	1.2087	0.019437	vapor
22.440	25.771	2.2231	0.44982	0.76246	0.92358	41.165	13.212	26.378	366.68	0.20270	1.2087	0.019437	vapor
22.440	25.774	2.2234	0.44976	0.76245	0.92358	41.164	13.212	26.379	366.68	0.20271	1.2087	0.019437	vapor
22.440	25.777	2.2237	0.44969	0.76245	0.92357	41.163	13.213	26.380	366.68	0.20271	1.2087	0.019437	vapor
