Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.410	25.600	2.2100	0.45249	0.76229	0.92330	41.200	13.210	26.348	366.53	0.20305	1.2068	0.019402	vapor
22.410	25.603	2.2103	0.45243	0.76229	0.92329	41.199	13.210	26.350	366.52	0.20305	1.2069	0.019403	vapor
22.410	25.606	2.2106	0.45237	0.76228	0.92328	41.198	13.210	26.351	366.52	0.20305	1.2069	0.019403	vapor
22.410	25.609	2.2109	0.45230	0.76228	0.92327	41.197	13.210	26.352	366.52	0.20306	1.2069	0.019403	vapor
22.410	25.612	2.2112	0.45224	0.76227	0.92327	41.195	13.211	26.353	366.51	0.20306	1.2069	0.019403	vapor
22.410	25.615	2.2115	0.45218	0.76227	0.92326	41.194	13.211	26.354	366.51	0.20306	1.2069	0.019404	vapor
22.410	25.618	2.2118	0.45211	0.76226	0.92325	41.193	13.211	26.355	366.50	0.20307	1.2069	0.019404	vapor
22.410	25.621	2.2121	0.45205	0.76226	0.92324	41.192	13.211	26.357	366.50	0.20307	1.2069	0.019404	vapor
22.410	25.624	2.2124	0.45199	0.76225	0.92323	41.190	13.211	26.358	366.50	0.20307	1.2069	0.019404	vapor
22.410	25.627	2.2127	0.45193	0.76225	0.92322	41.189	13.211	26.359	366.49	0.20307	1.2069	0.019404	vapor
22.410	25.630	2.2131	0.45186	0.76224	0.92321	41.188	13.212	26.360	366.49	0.20308	1.2069	0.019405	vapor
22.410	25.630	2.2131	0.45186	0.76224	0.92321	41.188	13.212	26.360	366.49	0.20308	1.2069	0.019405	vapor
22.410	25.630	68.372	0.014626	0.038855	0.044065	1.9577	11.673	22.285	1057.1	-0.0090492	11.385	0.10531	liquid
22.410	25.633	68.372	0.014626	0.038855	0.044066	1.9577	11.673	22.285	1057.1	-0.0090492	11.385	0.10531	liquid
22.410	25.636	68.372	0.014626	0.038854	0.044066	1.9577	11.673	22.285	1057.1	-0.0090492	11.385	0.10531	liquid
22.410	25.639	68.372	0.014626	0.038854	0.044066	1.9577	11.673	22.284	1057.1	-0.0090493	11.385	0.10531	liquid
22.410	25.642	68.372	0.014626	0.038854	0.044067	1.9577	11.673	22.284	1057.1	-0.0090493	11.385	0.10531	liquid
22.410	25.645	68.372	0.014626	0.038854	0.044067	1.9577	11.673	22.284	1057.1	-0.0090494	11.385	0.10531	liquid
22.410	25.648	68.372	0.014626	0.038853	0.044067	1.9577	11.673	22.284	1057.1	-0.0090494	11.385	0.10531	liquid
22.410	25.651	68.372	0.014626	0.038853	0.044068	1.9577	11.673	22.284	1057.1	-0.0090494	11.385	0.10531	liquid
22.410	25.654	68.372	0.014626	0.038853	0.044068	1.9576	11.673	22.284	1057.1	-0.0090495	11.385	0.10531	liquid
22.410	25.657	68.372	0.014626	0.038853	0.044068	1.9576	11.673	22.284	1057.1	-0.0090495	11.385	0.10531	liquid
22.410	25.660	68.372	0.014626	0.038852	0.044069	1.9576	11.673	22.284	1057.1	-0.0090495	11.385	0.10531	liquid
22.410	25.663	68.372	0.014626	0.038852	0.044069	1.9576	11.673	22.284	1057.1	-0.0090496	11.385	0.10531	liquid
22.410	25.666	68.372	0.014626	0.038852	0.044069	1.9576	11.673	22.284	1057.1	-0.0090496	11.385	0.10531	liquid
22.410	25.669	68.372	0.014626	0.038851	0.044070	1.9576	11.673	22.284	1057.1	-0.0090496	11.385	0.10531	liquid
22.410	25.672	68.372	0.014626	0.038851	0.044070	1.9576	11.673	22.284	1057.1	-0.0090497	11.385	0.10531	liquid
22.410	25.675	68.372	0.014626	0.038851	0.044070	1.9576	11.673	22.284	1057.1	-0.0090497	11.385	0.10531	liquid
22.410	25.678	68.372	0.014626	0.038851	0.044071	1.9575	11.673	22.284	1057.1	-0.0090498	11.385	0.10531	liquid
22.410	25.681	68.372	0.014626	0.038850	0.044071	1.9575	11.673	22.284	1057.1	-0.0090498	11.385	0.10531	liquid
22.410	25.684	68.372	0.014626	0.038850	0.044071	1.9575	11.673	22.284	1057.1	-0.0090498	11.385	0.10531	liquid
22.410	25.687	68.373	0.014626	0.038850	0.044072	1.9575	11.673	22.284	1057.1	-0.0090499	11.385	0.10531	liquid
22.410	25.690	68.373	0.014626	0.038850	0.044072	1.9575	11.673	22.284	1057.1	-0.0090499	11.385	0.10531	liquid
