Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.420	25.600	2.2085	0.45279	0.76245	0.92357	41.212	13.207	26.336	366.65	0.20288	1.2073	0.019410	vapor
22.420	25.603	2.2088	0.45273	0.76245	0.92356	41.211	13.208	26.337	366.65	0.20288	1.2073	0.019410	vapor
22.420	25.606	2.2091	0.45266	0.76244	0.92355	41.210	13.208	26.338	366.64	0.20288	1.2074	0.019410	vapor
22.420	25.609	2.2095	0.45260	0.76244	0.92354	41.208	13.208	26.340	366.64	0.20289	1.2074	0.019411	vapor
22.420	25.612	2.2098	0.45254	0.76243	0.92353	41.207	13.208	26.341	366.64	0.20289	1.2074	0.019411	vapor
22.420	25.615	2.2101	0.45247	0.76242	0.92352	41.206	13.208	26.342	366.63	0.20289	1.2074	0.019411	vapor
22.420	25.618	2.2104	0.45241	0.76242	0.92351	41.205	13.208	26.343	366.63	0.20290	1.2074	0.019411	vapor
22.420	25.621	2.2107	0.45235	0.76241	0.92350	41.203	13.209	26.344	366.62	0.20290	1.2074	0.019411	vapor
22.420	25.624	2.2110	0.45229	0.76241	0.92349	41.202	13.209	26.345	366.62	0.20290	1.2074	0.019412	vapor
22.420	25.627	2.2113	0.45222	0.76240	0.92348	41.201	13.209	26.347	366.62	0.20290	1.2074	0.019412	vapor
22.420	25.630	2.2116	0.45216	0.76240	0.92348	41.200	13.209	26.348	366.61	0.20291	1.2074	0.019412	vapor
22.420	25.633	2.2119	0.45210	0.76239	0.92347	41.198	13.209	26.349	366.61	0.20291	1.2074	0.019412	vapor
22.420	25.636	2.2122	0.45204	0.76239	0.92346	41.197	13.209	26.350	366.61	0.20291	1.2074	0.019413	vapor
22.420	25.639	2.2125	0.45197	0.76238	0.92345	41.196	13.210	26.351	366.60	0.20292	1.2074	0.019413	vapor
22.420	25.642	2.2128	0.45191	0.76238	0.92344	41.195	13.210	26.352	366.60	0.20292	1.2074	0.019413	vapor
22.420	25.645	2.2131	0.45185	0.76237	0.92343	41.193	13.210	26.354	366.59	0.20292	1.2074	0.019413	vapor
22.420	25.648	2.2134	0.45178	0.76236	0.92342	41.192	13.210	26.355	366.59	0.20292	1.2075	0.019413	vapor
22.420	25.651	2.2138	0.45172	0.76236	0.92341	41.191	13.210	26.356	366.59	0.20293	1.2075	0.019414	vapor
22.420	25.654	2.2141	0.45166	0.76235	0.92340	41.190	13.211	26.357	366.58	0.20293	1.2075	0.019414	vapor
22.420	25.657	2.2144	0.45160	0.76235	0.92340	41.189	13.211	26.358	366.58	0.20293	1.2075	0.019414	vapor
22.420	25.660	2.2147	0.45153	0.76234	0.92339	41.187	13.211	26.359	366.58	0.20294	1.2075	0.019414	vapor
22.420	25.663	2.2150	0.45147	0.76234	0.92338	41.186	13.211	26.360	366.57	0.20294	1.2075	0.019414	vapor
22.420	25.666	2.2153	0.45141	0.76233	0.92337	41.185	13.211	26.362	366.57	0.20294	1.2075	0.019415	vapor
22.420	25.669	2.2156	0.45135	0.76233	0.92336	41.184	13.211	26.363	366.56	0.20294	1.2075	0.019415	vapor
22.420	25.672	2.2159	0.45128	0.76232	0.92335	41.182	13.212	26.364	366.56	0.20295	1.2075	0.019415	vapor
22.420	25.675	2.2162	0.45122	0.76232	0.92334	41.181	13.212	26.365	366.56	0.20295	1.2075	0.019415	vapor
22.420	25.678	2.2165	0.45116	0.76231	0.92333	41.180	13.212	26.366	366.55	0.20295	1.2075	0.019416	vapor
22.420	25.681	2.2168	0.45110	0.76231	0.92332	41.179	13.212	26.367	366.55	0.20296	1.2075	0.019416	vapor
22.420	25.684	2.2171	0.45103	0.76230	0.92332	41.177	13.212	26.369	366.54	0.20296	1.2075	0.019416	vapor
22.420	25.687	2.2174	0.45097	0.76229	0.92331	41.176	13.212	26.370	366.54	0.20296	1.2075	0.019416	vapor
22.420	25.690	2.2177	0.45091	0.76229	0.92330	41.175	13.213	26.371	366.54	0.20297	1.2076	0.019416	vapor
22.420	25.693	2.2181	0.45085	0.76228	0.92329	41.174	13.213	26.372	366.53	0.20297	1.2076	0.019417	vapor
22.420	25.695	2.2182	0.45081	0.76228	0.92328	41.173	13.213	26.373	366.53	0.20297	1.2076	0.019417	vapor
22.420	25.695	68.359	0.014629	0.039071	0.044296	1.9674	11.675	22.299	1056.8	-0.0090347	11.376	0.10531	liquid
22.420	25.696	68.359	0.014629	0.039071	0.044296	1.9674	11.675	22.299	1056.8	-0.0090347	11.376	0.10531	liquid
22.420	25.699	68.359	0.014629	0.039071	0.044296	1.9674	11.675	22.299	1056.8	-0.0090347	11.376	0.10531	liquid
22.420	25.702	68.359	0.014629	0.039070	0.044296	1.9674	11.675	22.299	1056.8	-0.0090348	11.376	0.10531	liquid
22.420	25.705	68.359	0.014629	0.039070	0.044297	1.9674	11.675	22.299	1056.8	-0.0090348	11.376	0.10531	liquid
22.420	25.708	68.359	0.014629	0.039070	0.044297	1.9674	11.675	22.299	1056.8	-0.0090348	11.376	0.10531	liquid
22.420	25.711	68.359	0.014629	0.039070	0.044297	1.9674	11.675	22.299	1056.8	-0.0090349	11.376	0.10531	liquid
22.420	25.714	68.359	0.014629	0.039069	0.044298	1.9673	11.675	22.299	1056.8	-0.0090349	11.376	0.10531	liquid
22.420	25.717	68.359	0.014629	0.039069	0.044298	1.9673	11.675	22.299	1056.8	-0.0090349	11.376	0.10531	liquid
22.420	25.720	68.359	0.014629	0.039069	0.044298	1.9673	11.675	22.299	1056.8	-0.0090350	11.376	0.10531	liquid
22.420	25.723	68.359	0.014629	0.039068	0.044299	1.9673	11.675	22.299	1056.8	-0.0090350	11.376	0.10531	liquid
22.420	25.726	68.359	0.014629	0.039068	0.044299	1.9673	11.675	22.299	1056.8	-0.0090351	11.376	0.10531	liquid
22.420	25.729	68.359	0.014629	0.039068	0.044299	1.9673	11.675	22.298	1056.8	-0.0090351	11.376	0.10531	liquid
22.420	25.732	68.359	0.014629	0.039068	0.044300	1.9673	11.675	22.298	1056.8	-0.0090351	11.376	0.10531	liquid
22.420	25.735	68.359	0.014629	0.039067	0.044300	1.9673	11.675	22.298	1056.8	-0.0090352	11.376	0.10531	liquid
22.420	25.738	68.359	0.014629	0.039067	0.044300	1.9672	11.675	22.298	1056.8	-0.0090352	11.376	0.10531	liquid
22.420	25.741	68.359	0.014629	0.039067	0.044301	1.9672	11.675	22.298	1056.8	-0.0090352	11.376	0.10531	liquid
22.420	25.744	68.360	0.014629	0.039067	0.044301	1.9672	11.675	22.298	1056.8	-0.0090353	11.376	0.10531	liquid
22.420	25.747	68.360	0.014629	0.039066	0.044301	1.9672	11.675	22.298	1056.8	-0.0090353	11.376	0.10531	liquid
22.420	25.750	68.360	0.014629	0.039066	0.044302	1.9672	11.675	22.298	1056.8	-0.0090353	11.377	0.10531	liquid
22.420	25.753	68.360	0.014629	0.039066	0.044302	1.9672	11.675	22.298	1056.8	-0.0090354	11.377	0.10531	liquid
22.420	25.756	68.360	0.014629	0.039065	0.044302	1.9672	11.675	22.298	1056.8	-0.0090354	11.377	0.10531	liquid
22.420	25.759	68.360	0.014629	0.039065	0.044303	1.9672	11.675	22.298	1056.8	-0.0090355	11.377	0.10531	liquid
22.420	25.762	68.360	0.014628	0.039065	0.044303	1.9671	11.675	22.298	1056.8	-0.0090355	11.377	0.10531	liquid
22.420	25.765	68.360	0.014628	0.039065	0.044303	1.9671	11.675	22.298	1056.8	-0.0090355	11.377	0.10531	liquid
22.420	25.768	68.360	0.014628	0.039064	0.044304	1.9671	11.675	22.298	1056.8	-0.0090356	11.377	0.10531	liquid
