Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.170	24.400	167.01	0.0059876	-0.036143	-0.032085	-1.4824	16.925	27.713	913.68	-0.0071150	undefined	undefined	liquid
22.170	24.404	167.01	0.0059876	-0.036143	-0.032085	-1.4824	16.925	27.713	913.68	-0.0071150	undefined	undefined	liquid
22.170	24.408	167.01	0.0059876	-0.036143	-0.032084	-1.4824	16.925	27.713	913.68	-0.0071150	undefined	undefined	liquid
22.170	24.413	167.01	0.0059876	-0.036144	-0.032084	-1.4824	16.925	27.713	913.68	-0.0071150	undefined	undefined	liquid
22.170	24.417	167.01	0.0059876	-0.036144	-0.032083	-1.4824	16.925	27.713	913.68	-0.0071150	undefined	undefined	liquid
22.170	24.421	167.01	0.0059876	-0.036144	-0.032083	-1.4824	16.925	27.713	913.68	-0.0071151	undefined	undefined	liquid
22.170	24.425	167.01	0.0059876	-0.036144	-0.032082	-1.4824	16.925	27.713	913.69	-0.0071151	undefined	undefined	liquid
22.170	24.429	167.01	0.0059876	-0.036145	-0.032082	-1.4824	16.925	27.713	913.69	-0.0071151	undefined	undefined	liquid
22.170	24.434	167.01	0.0059876	-0.036145	-0.032082	-1.4824	16.925	27.713	913.69	-0.0071151	undefined	undefined	liquid
22.170	24.438	167.01	0.0059876	-0.036145	-0.032081	-1.4825	16.925	27.713	913.69	-0.0071151	undefined	undefined	liquid
22.170	24.442	167.01	0.0059876	-0.036145	-0.032081	-1.4825	16.925	27.713	913.69	-0.0071151	undefined	undefined	liquid
22.170	24.446	167.01	0.0059876	-0.036145	-0.032080	-1.4825	16.925	27.713	913.69	-0.0071151	undefined	undefined	liquid
22.170	24.450	167.01	0.0059876	-0.036146	-0.032080	-1.4825	16.925	27.713	913.69	-0.0071151	undefined	undefined	liquid
22.170	24.455	167.01	0.0059876	-0.036146	-0.032079	-1.4825	16.925	27.713	913.69	-0.0071152	undefined	undefined	liquid
22.170	24.459	167.01	0.0059876	-0.036146	-0.032079	-1.4825	16.925	27.713	913.69	-0.0071152	undefined	undefined	liquid
22.170	24.463	167.01	0.0059876	-0.036146	-0.032078	-1.4825	16.925	27.713	913.69	-0.0071152	undefined	undefined	liquid
22.170	24.467	167.01	0.0059876	-0.036147	-0.032078	-1.4825	16.925	27.713	913.69	-0.0071152	undefined	undefined	liquid
22.170	24.471	167.01	0.0059876	-0.036147	-0.032077	-1.4825	16.925	27.713	913.69	-0.0071152	undefined	undefined	liquid
22.170	24.476	167.01	0.0059876	-0.036147	-0.032077	-1.4826	16.925	27.713	913.69	-0.0071152	undefined	undefined	liquid
22.170	24.480	167.01	0.0059876	-0.036147	-0.032076	-1.4826	16.925	27.713	913.69	-0.0071152	undefined	undefined	liquid
22.170	24.484	167.01	0.0059875	-0.036148	-0.032076	-1.4826	16.925	27.713	913.69	-0.0071153	undefined	undefined	liquid
22.170	24.488	167.01	0.0059875	-0.036148	-0.032076	-1.4826	16.925	27.713	913.69	-0.0071153	undefined	undefined	liquid
22.170	24.492	167.01	0.0059875	-0.036148	-0.032075	-1.4826	16.925	27.713	913.69	-0.0071153	undefined	undefined	liquid
22.170	24.497	167.01	0.0059875	-0.036148	-0.032075	-1.4826	16.925	27.713	913.69	-0.0071153	undefined	undefined	liquid
22.170	24.501	167.01	0.0059875	-0.036149	-0.032074	-1.4826	16.925	27.713	913.70	-0.0071153	undefined	undefined	liquid
