Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
22.300	24.400	166.68	0.0059996	-0.032528	-0.028462	-1.3194	17.088	28.028	908.40	-0.0069885	undefined	undefined	liquid
22.300	24.404	166.68	0.0059996	-0.032528	-0.028462	-1.3194	17.088	28.028	908.40	-0.0069885	undefined	undefined	liquid
22.300	24.408	166.68	0.0059996	-0.032528	-0.028461	-1.3194	17.088	28.028	908.40	-0.0069885	undefined	undefined	liquid
22.300	24.413	166.68	0.0059996	-0.032529	-0.028461	-1.3194	17.088	28.028	908.40	-0.0069885	undefined	undefined	liquid
22.300	24.417	166.68	0.0059996	-0.032529	-0.028460	-1.3195	17.088	28.028	908.40	-0.0069885	undefined	undefined	liquid
22.300	24.421	166.68	0.0059996	-0.032529	-0.028460	-1.3195	17.088	28.028	908.40	-0.0069885	undefined	undefined	liquid
22.300	24.425	166.68	0.0059996	-0.032529	-0.028459	-1.3195	17.088	28.028	908.40	-0.0069885	undefined	undefined	liquid
22.300	24.429	166.68	0.0059996	-0.032530	-0.028459	-1.3195	17.088	28.028	908.40	-0.0069886	undefined	undefined	liquid
22.300	24.434	166.68	0.0059996	-0.032530	-0.028458	-1.3195	17.088	28.028	908.40	-0.0069886	undefined	undefined	liquid
22.300	24.438	166.68	0.0059996	-0.032530	-0.028458	-1.3195	17.088	28.028	908.40	-0.0069886	undefined	undefined	liquid
22.300	24.442	166.68	0.0059996	-0.032530	-0.028457	-1.3195	17.088	28.028	908.40	-0.0069886	undefined	undefined	liquid
22.300	24.446	166.68	0.0059996	-0.032530	-0.028457	-1.3195	17.088	28.027	908.40	-0.0069886	undefined	undefined	liquid
22.300	24.450	166.68	0.0059996	-0.032531	-0.028457	-1.3195	17.088	28.027	908.40	-0.0069886	undefined	undefined	liquid
22.300	24.455	166.68	0.0059996	-0.032531	-0.028456	-1.3196	17.088	28.027	908.41	-0.0069886	undefined	undefined	liquid
22.300	24.459	166.68	0.0059996	-0.032531	-0.028456	-1.3196	17.088	28.027	908.41	-0.0069886	undefined	undefined	liquid
22.300	24.463	166.68	0.0059996	-0.032531	-0.028455	-1.3196	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.467	166.68	0.0059996	-0.032532	-0.028455	-1.3196	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.471	166.68	0.0059996	-0.032532	-0.028454	-1.3196	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.476	166.68	0.0059996	-0.032532	-0.028454	-1.3196	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.480	166.68	0.0059996	-0.032532	-0.028453	-1.3196	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.484	166.68	0.0059996	-0.032533	-0.028453	-1.3196	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.488	166.68	0.0059996	-0.032533	-0.028452	-1.3196	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.492	166.68	0.0059996	-0.032533	-0.028452	-1.3197	17.088	28.027	908.41	-0.0069887	undefined	undefined	liquid
22.300	24.497	166.68	0.0059996	-0.032533	-0.028452	-1.3197	17.088	28.027	908.41	-0.0069888	undefined	undefined	liquid
22.300	24.501	166.68	0.0059996	-0.032534	-0.028451	-1.3197	17.088	28.027	908.41	-0.0069888	undefined	undefined	liquid
22.300	24.505	166.68	0.0059996	-0.032534	-0.028451	-1.3197	17.088	28.027	908.41	-0.0069888	undefined	undefined	liquid
22.300	24.509	166.68	0.0059996	-0.032534	-0.028450	-1.3197	17.088	28.027	908.41	-0.0069888	undefined	undefined	liquid
22.300	24.513	166.68	0.0059996	-0.032534	-0.028450	-1.3197	17.088	28.027	908.41	-0.0069888	undefined	undefined	liquid
22.300	24.518	166.68	0.0059996	-0.032535	-0.028449	-1.3197	17.088	28.027	908.41	-0.0069888	undefined	undefined	liquid
22.300	24.522	166.68	0.0059996	-0.032535	-0.028449	-1.3197	17.088	28.027	908.41	-0.0069888	undefined	undefined	liquid
22.300	24.526	166.68	0.0059996	-0.032535	-0.028448	-1.3197	17.088	28.027	908.41	-0.0069889	undefined	undefined	liquid
22.300	24.530	166.68	0.0059996	-0.032535	-0.028448	-1.3197	17.088	28.027	908.41	-0.0069889	undefined	undefined	liquid
22.300	24.534	166.68	0.0059996	-0.032536	-0.028447	-1.3198	17.088	28.027	908.41	-0.0069889	undefined	undefined	liquid
22.300	24.539	166.68	0.0059996	-0.032536	-0.028447	-1.3198	17.088	28.027	908.42	-0.0069889	undefined	undefined	liquid
22.300	24.543	166.68	0.0059996	-0.032536	-0.028446	-1.3198	17.088	28.027	908.42	-0.0069889	undefined	undefined	liquid
22.300	24.547	166.68	0.0059996	-0.032536	-0.028446	-1.3198	17.088	28.027	908.42	-0.0069889	undefined	undefined	liquid
22.300	24.551	166.68	0.0059996	-0.032537	-0.028446	-1.3198	17.088	28.027	908.42	-0.0069889	undefined	undefined	liquid
22.300	24.555	166.68	0.0059996	-0.032537	-0.028445	-1.3198	17.088	28.027	908.42	-0.0069889	undefined	undefined	liquid
22.300	24.560	166.68	0.0059996	-0.032537	-0.028445	-1.3198	17.088	28.027	908.42	-0.0069890	undefined	undefined	liquid
22.300	24.564	166.68	0.0059996	-0.032537	-0.028444	-1.3198	17.088	28.027	908.42	-0.0069890	undefined	undefined	liquid
22.300	24.568	166.68	0.0059996	-0.032537	-0.028444	-1.3198	17.088	28.027	908.42	-0.0069890	undefined	undefined	liquid
22.300	24.572	166.68	0.0059996	-0.032538	-0.028443	-1.3199	17.088	28.027	908.42	-0.0069890	undefined	undefined	liquid
